Category,name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Crater,Samir,Samir,1/1/1979,Arabic male name.,1.86464,325.7120841,28.50440756,"""Crater, craters""",AA,Adopted by IAU,325.6771069,325.7470646,28.47366142,28.53515434,Assyro-Babylonian,Asia,Aristarchus,LAC-39,http://planetarynames.wr.usgs.gov/Feature/5294
Crater,Sanford,Sanford,1/1/1970,Roscoe Frank; American astronomer (1883-1958).,55.0915,220.7942887,32.37690982,"""Crater, craters""",AA,Adopted by IAU,219.7186985,221.8698444,31.46850014,33.28532219,American,North America,Fowler,LAC-34,http://planetarynames.wr.usgs.gov/Feature/5305
Crater,Santbech,Santbech,1/1/1935,"""Daniel Santbech Noviomagus; Dutch mathematician, astronomer (unkn-fl. 1561).""",62.2428,44.06017427,-20.98827386,"""Crater, craters""",AA,Adopted by IAU,42.96106148,45.15921593,-22.01462746,-19.96191978,The Netherlands (Dutch),Europe,Fracastorius,LAC-97,http://planetarynames.wr.usgs.gov/Feature/5314
Crater,Santos-Dumont,Santos Dumont,1/1/1976,Alberto; Brazilian aeronautical engineer (1873-1932).,8.79534,4.754652816,27.79481292,"""Crater, craters""",AA,Adopted by IAU,4.590711594,4.918596268,27.64978981,27.93984032,Brazil,South and Central America,Montes Apenninus,LAC-41,http://planetarynames.wr.usgs.gov/Feature/5315
Crater,Sarton,Sarton,1/1/1970,George Alfred Leon; Belgian-American historian of science (1884-1956).,71.3348,238.8590795,49.12037211,"""Crater, craters""",AA,Adopted by IAU,237.084341,240.6762333,47.95051384,50.30306053,Belgium,Europe,Coulomb,LAC-20,http://planetarynames.wr.usgs.gov/Feature/5331
Crater,Sasserides,Sasserides,1/1/1935,"""Sasceride, Gellio; Danish astronomer, doctor (1562-1612).""",81.739,350.5556214,-39.27755153,"""Crater, craters""",AA,Adopted by IAU,348.8144169,352.2968044,-40.62543297,-37.92967033,Denmark,Europe,Tycho,LAC-112,http://planetarynames.wr.usgs.gov/Feature/5335
Crater,Saunder,Saunder,1/1/1935,"""Samuel Arthur; British mathematician, selenographer (1852-1912).""",44.3847,8.717854823,-4.260095444,"""Crater, craters""",AA,Adopted by IAU,7.983968735,9.451742172,-4.991970062,-3.528219223,Great Britain,Europe,Ptolemaeus,LAC-77,http://planetarynames.wr.usgs.gov/Feature/5342
Crater,Saussure,Saussure,1/1/1935,Horace Benedict De; Swiss geologist (1740-1799).,54.5571,356.1150604,-43.37757838,"""Crater, craters""",AA,Adopted by IAU,354.8762112,357.3539104,-44.27719688,-42.47795868,Switzerland,Europe,Tycho,LAC-112,http://planetarynames.wr.usgs.gov/Feature/5343
Crater,Scaliger,Scaliger,1/1/1970,Joseph Justus; French chronologist (1540-1609).,86.3964,109.1445499,-27.25511202,"""Crater, craters""",AA,Adopted by IAU,107.5417461,110.7473469,-28.67981148,-25.83041191,France,Europe,Hilbert,LAC-100,http://planetarynames.wr.usgs.gov/Feature/5352
Crater,Vitello,Vitello,1/1/1935,"""Witelo, Erazmus Ciokek; Polish physicist, mathematician (1210-1285).""",42.5056,322.4493897,-30.41935198,"""Crater, craters""",AA,Adopted by IAU,321.6365223,323.262228,-31.12023544,-29.71846771,Poland,Europe,Mare Humorum,LAC-93,http://planetarynames.wr.usgs.gov/Feature/6412
