Intersections_Entries,Longitude,Latitude,Altitude,Origin
0,3.0120944679836184,-1.1132825856902864,-81.15161773825862,true
1,3.0120962859641707,-1.1132831167238904,5.0,false
2,2.9717070187455765,-1.1536708044600412,-15.448370439803183,false
3,2.9884018409702486,-1.1527705728234787,-35.72068028319812,false
4,2.976555867111601,-1.1527705097347263,-20.5919899155367,false
5,2.9844531619459747,-1.1527705572486258,-30.686034257616154,false
6,2.9805045039825293,-1.152770536219013,-25.643137450456894,false
7,2.9923505410236664,-1.1527705829434831,-40.74707547473668,false
8,2.996299262074542,-1.1527705876085532,-45.765219779572824,false
9,3.008145550895033,-1.1527705688732879,-60.770146843804575,false
10,3.000248004091188,-1.1527705868186013,-50.77511314446886,false
11,3.004196767041915,-1.1527705805735415,-55.77675551676577,false
12,3.016043181181668,-1.152770529106739,-70.73217615147176,false
13,3.012094355618851,-1.1527705517176394,-65.75528707273335,false
14,3.023940894697526,-1.1527704675183819,-80.66120064754855,false
15,3.0199920275517793,-1.1527705010402716,-75.70081402716791,false
16,3.027889782587157,-1.1527704285407543,-85.61333596034049,false
17,3.0357876204714302,-1.1527703342184068,-95.49285245406524,false
18,3.0436855409509356,-1.1527702180724337,-105.33936309073502,false
19,3.031838691189058,-1.1527703841075345,-90.55721991327047,false
20,3.039736570402622,-1.1527702788734018,-100.4202335308374,false
21,3.0456290582036223,-1.1505425344552025,-106.68050262454025,false
22,2.97145090524056,-1.1498628188327171,-12.939399463283042,false
23,2.9755151776458195,-1.1498628244814126,-18.14937851565646,false
24,3.045482726204473,-1.1466705809260005,-106.30835767909613,false
25,2.979579467787789,-1.149862824406352,-23.350610478750777,false
26,2.983643775645866,-1.149862818607458,-28.54309534330728,false
27,2.987708101199444,-1.1498628070846568,-33.726833098717,false
28,2.9958368053106694,-1.1498627668670465,-44.068067241974965,false
29,2.999901183827228,-1.1498627381717172,-49.225563609762624,false
30,2.9917724444279123,-1.1498627898378788,-38.90182373475677,false
31,3.003965579956696,-1.1498627037525582,-54.37431282770368,false
32,3.008029993678671,-1.1498626636087588,-59.514314886346526,false
33,3.0120944249724215,-1.1498626177406126,-64.64556977411776,false
34,3.0202233401929077,-1.149862508831369,-74.88183799788861,false
35,3.024287824078511,-1.1498624457901232,-79.98685131305612,false
36,3.0161588738173832,-1.1498625661484219,-69.76807748156573,false
37,3.028352325453216,-1.1498623770235041,-85.08311741607352,false
38,3.0364813805887363,-1.149862222317185,-95.24940794457234,false
39,3.032416844296991,-1.149862302532917,-90.17063629671762,false
40,3.040545934308008,-1.1498621363766,-100.31943234845006,false
41,3.044610505434198,-1.1498620447110917,-105.38070949889921,false
42,3.0448964737064355,-1.1460840257235467,-105.5496572011332,false
43,3.0395602565073405,-1.1380015445093181,-98.47884669252684,false
44,2.9763852347823634,-1.145025394713949,-19.022837350097934,false
45,2.9803528632450105,-1.1450253831722998,-24.098646100149672,false
46,2.97241762321446,-1.1450254008175789,-13.938692607895662,false
47,2.984320508583689,-1.1450253661925613,-29.166118849177924,false
48,2.9882881707796853,-1.1450253437746682,-34.22525558965999,false
49,2.9922558498144807,-1.1450253159182364,-39.27605631175845,false
50,2.996223545668932,-1.1450252826238252,-44.31852100698617,false
51,3.004158987762725,-1.1450251997195409,-54.378442280758854,false
52,3.008126733964561,-1.1450251501095339,-59.39589884175082,false
53,3.000191258324675,-1.1450252438907411,-49.35264966627728,false
54,3.012094496911354,-1.1450250950612748,-64.40501933980158,false
55,3.0160622765843885,-1.1450250345737594,-69.40580376603819,false
56,3.020030072965031,-1.1450249686481742,-74.39825211139477,false
57,3.0239978860344476,-1.145024897283508,-79.38236436661263,false
58,3.027965715773964,-1.145024820480014,-84.35814052243302,false
59,3.0319335621648684,-1.1450247382376193,-89.32558057017592,false
60,3.0359014251884453,-1.1450246505562585,-94.28468450019683,false
61,3.039869304825981,-1.1450245574358677,-99.23545230323697,false
62,3.0438372010587607,-1.145024458876375,-104.17788397003766,false
63,3.0337533339908203,-1.1306094345540716,-90.81063572003819,false
64,3.038652642183091,-1.136889396578579,-97.28579694034882,false
65,2.9685772199340597,-1.1437461431793776,-8.943858410081473,false
66,2.9729288582219353,-1.1437461390151982,-14.528531458345697,false
67,2.9772805168732437,-1.1437461283090251,-20.103176678440683,false
68,2.9816321958610543,-1.1437461110607687,-25.667794055899677,false
69,2.9903356147386893,-1.1437460569373228,-36.76694522581418,false
70,2.9859838951587148,-1.1437460872700131,-31.222383576641686,false
71,2.994687354574564,-1.1437460200619496,-42.30147898914329,false
72,2.999039114638985,-1.143745976644464,-47.82598485177647,false
73,3.003390894905354,-1.1437459266841128,-53.340462798861175,false
74,3.0120945159356376,-1.14374580713579,-64.33933488813236,false
75,3.0077426953465003,-1.143745870181473,-58.84491281573776,false
76,3.020798217449877,-1.1437456614159367,-75.29809513871514,false
77,3.0164463566457402,-1.1437457375473086,-69.82372900061374,false
78,3.025150098321117,-1.1437455787415836,-80.76243328816275,false
79,3.029501999232529,-1.1437454895241677,-86.2167434327537,false
80,3.033853920157181,-1.1437453937635953,-91.66102555859997,false
81,3.0425578219381464,-1.143745182612305,-102.51950569252645,false
82,3.0367187252705268,-1.1324344239297242,-94.62092124247253,false
83,3.044002591157447,-1.1412014686487018,-104.18483996839306,false
84,3.0382058610681404,-1.1437452914597812,-97.09527965007742,false
85,3.032572902538274,-1.1276173097165763,-89.15699216635007,false
86,3.0442242898358405,-1.140821713042979,-104.44054640276731,false
87,3.0440026050625133,-1.1372131095770845,-103.96913749136904,false
88,3.036718742190012,-1.1296985060473186,-94.46116658806844,false
89,3.032572918346504,-1.125569553173643,-89.03257247298406,false
90,3.0440026190197784,-1.133224751299171,-103.74501691078724,false
91,3.044224305521371,-1.1362319186830814,-104.19066375732326,false
92,3.032572934171821,-1.1235217968696187,-88.90593363652181,false
93,3.0367187591371185,-1.1269625885726744,-94.29745066924511,false
94,3.044002633028612,-1.1292363938337102,-103.51247822741928,false
95,3.0442243212666535,-1.1316421253605589,-103.92963270941846,false
96,3.0367187761116794,-1.1242266715089735,-94.12977348600252,false
97,3.032572950014223,-1.1214740408046022,-88.77707565599889,false
98,3.044002647089642,-1.125248037200235,-103.27152144242243,false
99,3.044224337072781,-1.127052333109155,-103.65745326156049,false
100,3.036718793113692,-1.1214907548595325,-93.95813503718331,false
101,3.032572965873711,-1.1194262849786916,-88.64599853257259,false
102,3.044224352938657,-1.122462541961366,-103.37412541317066,false
103,3.036718810143158,-1.1187548386276638,-93.78253532413774,false
104,3.0440026612028728,-1.1212596814178108,-103.02214655637539,false
105,3.032572981750284,-1.1173785293919867,-88.51270226489272,false
106,3.0442243688650152,-1.117872751950574,-103.07964916656364,false
107,3.044002675367666,-1.1172713265054173,-102.76435356908527,false
108,3.036718827200075,-1.1160189228166824,-93.60297434628711,false
109,3.0325729976440483,-1.1153307740445961,-88.37718685411663,false
110,3.0442243848514834,-1.1132829631097418,-102.77402452251108,false
111,3.044002689584339,-1.1132829724823563,-102.49814248113073,false
112,3.0325730135548974,-1.1132830189365865,-88.23945229927985,false
113,3.0367188442846147,-1.1132830074299032,-93.41945210421014,false
114,3.044002703853529,-1.1092946193677296,-102.22351329463359,false
115,3.0325730294828315,-1.1112352640680574,-88.09949860076817,false
116,3.036718861396605,-1.1105470924706025,-93.23196859732812,false
117,3.0442244008980643,-1.1086931754719924,-102.45725148178444,false
118,3.0442244170047585,-1.1041033890704461,-102.1293300455411,false
119,3.0440027181742795,-1.105306267180718,-101.94046600843649,false
120,3.0367188785362176,-1.1078111779420585,-93.04052382602683,false
121,3.032573045427851,-1.109187509439108,-87.95732575800288,false
122,3.04422443317193,-1.0995136039380686,-101.7902602153242,false
123,3.0440027325472254,-1.1013179159403852,-101.64900062388966,false
124,3.0367188957032796,-1.1050752638475863,-92.8451177899205,false
125,3.03257306139006,-1.1071397550498054,-87.8129337715627,false
126,3.044224449399215,-1.0949238201080314,-101.44004199094077,false
127,3.044002746972053,-1.09732956566595,-101.34911714060733,false
128,3.03257307736946,-1.1050920009002168,-87.66632264086891,false
129,3.0367189128977943,-1.1023393501904988,-92.64575048881626,false
130,3.0442244656869746,-1.0903340376131974,-101.0786753748985,false
131,3.0367189301199304,-1.0996034369740193,-92.44242192329273,false
132,3.0440027614490752,-1.093341216376399,-101.0408155599397,false
133,3.0325730933658384,-1.1030442469905144,-87.5174923655358,false
