Grid Points_Entries,Latitude,Longitude,Altitude
0,25.219313017214443,153.08063895629905,-2601.807350861391
1,25.219313017214443,153.09063895629905,-2609.8274947648815
2,25.219313017214443,153.10063895629906,-2601.0561867971137
3,25.219313017214443,153.11063895629906,-2588.2394393033715
4,25.219313017214443,153.12063895629908,-2575.4225779178337
5,25.219313017214443,153.13063895629907,-2562.605743993295
6,25.219313017214443,153.14063895629906,-2549.788958174209
7,25.219313017214443,153.15063895629908,-2536.9721447928573
8,25.219313017214443,153.16063895629907,-2524.155228359172
9,25.219313017214443,153.1706389562991,-2511.3384669630645
10,25.219313017214443,153.18063895629908,-2498.521583372978
11,25.229313017214444,153.08063895629905,-2566.908136592256
12,25.229313017214444,153.09063895629905,-2570.5919859702817
13,25.229313017214444,153.10063895629906,-2560.7857985851115
14,25.229313017214444,153.11063895629906,-2547.72910270424
15,25.229313017214444,153.12063895629908,-2534.6724544078256
16,25.229313017214444,153.13063895629907,-2521.6158773341704
17,25.229313017214444,153.14063895629906,-2508.559262492623
18,25.229313017214444,153.15063895629908,-2495.502589301228
19,25.229313017214444,153.16063895629907,-2482.445977783757
20,25.229313017214444,153.1706389562991,-2469.3893541433326
21,25.229313017214444,153.18063895629908,-2456.3327073373807
22,25.239313017214442,153.08063895629905,-2532.0085379204447
23,25.239313017214442,153.09063895629905,-2531.3565419399
24,25.239313017214442,153.10063895629906,-2520.515261450726
25,25.239313017214442,153.11063895629906,-2507.2187913575162
26,25.239313017214442,153.12063895629908,-2493.92232312666
27,25.239313017214442,153.13063895629907,-2480.6259348317963
28,25.239313017214442,153.14063895629906,-2467.3294867907525
29,25.239313017214442,153.15063895629908,-2454.0330672330247
30,25.239313017214442,153.16063895629907,-2440.7366618172314
31,25.239313017214442,153.1706389562991,-2427.4402206590858
32,25.239313017214442,153.18063895629908,-2414.1437910602695
33,25.249313017214444,153.08063895629905,-2497.1104068336517
34,25.249313017214444,153.09063895629905,-2492.1216950873863
35,25.249313017214444,153.10063895629906,-2480.2447118996174
36,25.249313017214444,153.11063895629906,-2466.7085313060697
37,25.249313017214444,153.12063895629908,-2453.172299689798
38,25.249313017214444,153.13063895629907,-2439.6360761019996
39,25.249313017214444,153.14063895629906,-2426.0998865656784
40,25.249313017214444,153.15063895629908,-2412.563668479493
41,25.249313017214444,153.16063895629907,-2399.027384826475
42,25.249313017214444,153.1706389562991,-2385.491223911387
43,25.249313017214444,153.18063895629908,-2371.9549785765744
44,25.259313017214442,153.08063895629905,-2462.2113638143187
45,25.259313017214442,153.09063895629905,-2452.8862059577446
46,25.259313017214442,153.10063895629906,-2439.974232865289
47,25.259313017214442,153.11063895629906,-2426.198246568734
48,25.259313017214442,153.12063895629908,-2412.4221781383962
49,25.259313017214442,153.13063895629907,-2398.6461905066562
50,25.259313017214442,153.14063895629906,-2384.8702028861035
51,25.259313017214442,153.15063895629908,-2371.094132253732
52,25.259313017214442,153.16063895629907,-2357.318084303699
53,25.259313017214442,153.1706389562991,-2343.5420841782716
54,25.259313017214442,153.18063895629908,-2329.7660916179943
55,25.269313017214444,153.08063895629905,-2436.9552856228306
56,25.269313017214444,153.09063895629905,-2425.7028584195978
57,25.269313017214444,153.10063895629906,-2411.966423997579
58,25.269313017214444,153.11063895629906,-2397.631492280815
59,25.269313017214444,153.12063895629908,-2383.2964862315175
60,25.269313017214444,153.13063895629907,-2368.961581705513
61,25.269313017214444,153.14063895629906,-2354.6265496941655
62,25.269313017214444,153.15063895629908,-2340.2916263131483
