Grid Points_Entries,Longitude,Latitude,Altitude,Origin
0,4.077784239182605,-0.6638412391242295,-146.67320875104951,true
1,4.027781884474152,-0.7138398369406054,5.0,false
2,4.032781884474152,-0.7138398369406054,5.0,false
3,4.0377818844741515,-0.7138398369406054,5.0,false
4,4.042781884474151,-0.7138398369406054,5.0,false
5,4.047781884474151,-0.7138398369406054,5.0,false
6,4.052781884474152,-0.7138398369406054,5.0,false
7,4.057781884474152,-0.7138398369406054,5.0,false
8,4.062781884474152,-0.7138398369406054,5.0,false
9,4.067781884474152,-0.7138398369406054,5.0,false
10,4.072781884474152,-0.7138398369406054,5.0,false
11,4.077781884474152,-0.7138398369406054,5.0,false
12,4.0827818844741515,-0.7138398369406054,5.0,false
13,4.087781884474151,-0.7138398369406054,5.0,false
14,4.092781884474151,-0.7138398369406054,5.0,false
15,4.097781884474151,-0.7138398369406054,5.0,false
16,4.102781884474151,-0.7138398369406054,5.0,false
17,4.107781884474152,-0.7138398369406054,5.0,false
18,4.112781884474152,-0.7138398369406054,5.0,false
19,4.117781884474152,-0.7138398369406054,5.0,false
20,4.1227818844741515,-0.7138398369406054,5.0,false
21,4.127781884474151,-0.7138398369406054,5.0,false
22,4.027781884474152,-0.7088398369406054,5.0,false
23,4.032781884474152,-0.7088398369406054,5.0,false
24,4.0377818844741515,-0.7088398369406054,5.0,false
25,4.042781884474151,-0.7088398369406054,5.0,false
26,4.047781884474151,-0.7088398369406054,5.0,false
27,4.052781884474152,-0.7088398369406054,5.0,false
28,4.057781884474152,-0.7088398369406054,5.0,false
29,4.062781884474152,-0.7088398369406054,5.0,false
30,4.067781884474152,-0.7088398369406054,5.0,false
31,4.072781884474152,-0.7088398369406054,5.0,false
32,4.077781884474152,-0.7088398369406054,5.0,false
33,4.0827818844741515,-0.7088398369406054,5.0,false
34,4.087781884474151,-0.7088398369406054,5.0,false
35,4.092781884474151,-0.7088398369406054,5.0,false
36,4.097781884474151,-0.7088398369406054,5.0,false
37,4.102781884474151,-0.7088398369406054,5.0,false
38,4.107781884474152,-0.7088398369406054,5.0,false
39,4.112781884474152,-0.7088398369406054,5.0,false
40,4.117781884474152,-0.7088398369406054,5.0,false
41,4.1227818844741515,-0.7088398369406054,5.0,false
42,4.127781884474151,-0.7088398369406054,5.0,false
43,4.027781884474152,-0.7038398369406054,5.0,false
44,4.032781884474152,-0.7038398369406054,5.0,false
45,4.0377818844741515,-0.7038398369406054,5.0,false
46,4.042781884474151,-0.7038398369406054,5.0,false
47,4.047781884474151,-0.7038398369406054,5.0,false
48,4.052781884474152,-0.7038398369406054,5.0,false
49,4.057781884474152,-0.7038398369406054,5.0,false
50,4.062781884474152,-0.7038398369406054,5.0,false
51,4.067781884474152,-0.7038398369406054,5.0,false
52,4.072781884474152,-0.7038398369406054,5.0,false
53,4.077781884474152,-0.7038398369406054,5.0,false
54,4.0827818844741515,-0.7038398369406054,5.0,false
55,4.087781884474151,-0.7038398369406054,5.0,false
56,4.092781884474151,-0.7038398369406054,5.0,false
57,4.097781884474151,-0.7038398369406054,5.0,false
58,4.102781884474151,-0.7038398369406054,5.0,false
59,4.107781884474152,-0.7038398369406054,5.0,false
60,4.112781884474152,-0.7038398369406054,5.0,false
61,4.117781884474152,-0.7038398369406054,5.0,false
62,4.1227818844741515,-0.7038398369406054,5.0,false
63,4.127781884474151,-0.7038398369406054,5.0,false
64,4.027781884474152,-0.6988398369406054,5.0,false
65,4.032781884474152,-0.6988398369406054,5.0,false
66,4.0377818844741515,-0.6988398369406054,5.0,false
67,4.042781884474151,-0.6988398369406054,5.0,false
68,4.047781884474151,-0.6988398369406054,5.0,false
69,4.052781884474152,-0.6988398369406054,5.0,false
70,4.057781884474152,-0.6988398369406054,5.0,false
71,4.062781884474152,-0.6988398369406054,5.0,false
72,4.067781884474152,-0.6988398369406054,5.0,false
73,4.072781884474152,-0.6988398369406054,5.0,false
74,4.077781884474152,-0.6988398369406054,5.0,false
