Grid Points_Entries,Longitude,Latitude,Altitude,Origin
0,3.0120944679836184,-1.1132825856902864,-81.15161773825862,true
1,3.0120962859641707,-1.1132831167238904,5.0,false
2,2.962096285964171,-1.1632831167238904,5.0,false
3,2.9670962859641707,-1.1632831167238904,5.0,false
4,2.9720962859641706,-1.1632831167238904,5.0,false
5,2.977096285964171,-1.1632831167238904,5.0,false
6,2.982096285964171,-1.1632831167238904,5.0,false
7,2.9870962859641708,-1.1632831167238904,5.0,false
8,2.9920962859641707,-1.1632831167238904,5.0,false
9,2.9970962859641705,-1.1632831167238904,5.0,false
10,3.002096285964171,-1.1632831167238904,5.0,false
11,3.007096285964171,-1.1632831167238904,5.0,false
12,3.0120962859641707,-1.1632831167238904,5.0,false
13,3.0170962859641706,-1.1632831167238904,5.0,false
14,3.0220962859641705,-1.1632831167238904,5.0,false
15,3.027096285964171,-1.1632831167238904,5.0,false
16,3.0320962859641707,-1.1632831167238904,5.0,false
17,3.0370962859641706,-1.1632831167238904,5.0,false
18,3.0420962859641705,-1.1632831167238904,5.0,false
19,3.0470962859641704,-1.1632831167238904,5.0,false
20,3.0520962859641707,-1.1632831167238904,5.0,false
21,3.0570962859641706,-1.1632831167238904,5.0,false
22,3.0620962859641705,-1.1632831167238904,5.0,false
23,2.962096285964171,-1.1582831167238905,5.0,false
24,2.9670962859641707,-1.1582831167238905,5.0,false
25,2.9720962859641706,-1.1582831167238905,5.0,false
26,2.977096285964171,-1.1582831167238905,5.0,false
27,2.982096285964171,-1.1582831167238905,5.0,false
28,2.9870962859641708,-1.1582831167238905,5.0,false
29,2.9920962859641707,-1.1582831167238905,5.0,false
30,2.9970962859641705,-1.1582831167238905,5.0,false
31,3.002096285964171,-1.1582831167238905,5.0,false
32,3.007096285964171,-1.1582831167238905,5.0,false
33,3.0120962859641707,-1.1582831167238905,5.0,false
34,3.0170962859641706,-1.1582831167238905,5.0,false
35,3.0220962859641705,-1.1582831167238905,5.0,false
36,3.027096285964171,-1.1582831167238905,5.0,false
37,3.0320962859641707,-1.1582831167238905,5.0,false
38,3.0370962859641706,-1.1582831167238905,5.0,false
39,3.0420962859641705,-1.1582831167238905,5.0,false
40,3.0470962859641704,-1.1582831167238905,5.0,false
41,3.0520962859641707,-1.1582831167238905,5.0,false
42,3.0570962859641706,-1.1582831167238905,5.0,false
43,3.0620962859641705,-1.1582831167238905,5.0,false
44,2.962096285964171,-1.1532831167238904,5.0,false
45,2.9670962859641707,-1.1532831167238904,5.0,false
46,2.9720962859641706,-1.1532831167238904,5.0,false
47,2.977096285964171,-1.1532831167238904,5.0,false
48,2.982096285964171,-1.1532831167238904,5.0,false
49,2.9870962859641708,-1.1532831167238904,5.0,false
50,2.9920962859641707,-1.1532831167238904,5.0,false
51,2.9970962859641705,-1.1532831167238904,5.0,false
52,3.002096285964171,-1.1532831167238904,5.0,false
53,3.007096285964171,-1.1532831167238904,5.0,false
54,3.0120962859641707,-1.1532831167238904,5.0,false
55,3.0170962859641706,-1.1532831167238904,5.0,false
56,3.0220962859641705,-1.1532831167238904,5.0,false
57,3.027096285964171,-1.1532831167238904,5.0,false
58,3.0320962859641707,-1.1532831167238904,5.0,false
59,3.0370962859641706,-1.1532831167238904,5.0,false
60,3.0420962859641705,-1.1532831167238904,5.0,false
61,3.0470962859641704,-1.1532831167238904,5.0,false
62,3.0520962859641707,-1.1532831167238904,5.0,false
63,3.0570962859641706,-1.1532831167238904,5.0,false
64,3.0620962859641705,-1.1532831167238904,5.0,false
65,2.962096285964171,-1.1482831167238903,5.0,false
66,2.9670962859641707,-1.1482831167238903,5.0,false
67,2.9720962859641706,-1.1482831167238903,5.0,false
68,2.977096285964171,-1.1482831167238903,5.0,false
69,2.982096285964171,-1.1482831167238903,5.0,false
70,2.9870962859641708,-1.1482831167238903,5.0,false
71,2.9920962859641707,-1.1482831167238903,5.0,false
72,2.9970962859641705,-1.1482831167238903,5.0,false
73,3.002096285964171,-1.1482831167238903,5.0,false
74,3.007096285964171,-1.1482831167238903,5.0,false
75,3.0120962859641707,-1.1482831167238903,5.0,false
76,3.0170962859641706,-1.1482831167238903,5.0,false
77,3.0220962859641705,-1.1482831167238903,5.0,false
78,3.027096285964171,-1.1482831167238903,5.0,false
79,3.0320962859641707,-1.1482831167238903,5.0,false
80,3.0370962859641706,-1.1482831167238903,5.0,false
81,3.0420962859641705,-1.1482831167238903,5.0,false
82,3.0470962859641704,-1.1482831167238903,5.0,false
83,3.0520962859641707,-1.1482831167238903,5.0,false
84,3.0570962859641706,-1.1482831167238903,5.0,false
85,3.0620962859641705,-1.1482831167238903,5.0,false
86,2.962096285964171,-1.1432831167238904,5.0,false
87,2.9670962859641707,-1.1432831167238904,5.0,false
88,2.9720962859641706,-1.1432831167238904,5.0,false
89,2.977096285964171,-1.1432831167238904,5.0,false
90,2.982096285964171,-1.1432831167238904,5.0,false
91,2.9870962859641708,-1.1432831167238904,5.0,false
92,2.9920962859641707,-1.1432831167238904,5.0,false
93,2.9970962859641705,-1.1432831167238904,5.0,false
94,3.002096285964171,-1.1432831167238904,5.0,false
95,3.007096285964171,-1.1432831167238904,5.0,false
96,3.0120962859641707,-1.1432831167238904,5.0,false
97,3.0170962859641706,-1.1432831167238904,5.0,false
98,3.0220962859641705,-1.1432831167238904,5.0,false
99,3.027096285964171,-1.1432831167238904,5.0,false
100,3.0320962859641707,-1.1432831167238904,5.0,false
101,3.0370962859641706,-1.1432831167238904,5.0,false
102,3.0420962859641705,-1.1432831167238904,5.0,false
103,3.0470962859641704,-1.1432831167238904,5.0,false
104,3.0520962859641707,-1.1432831167238904,5.0,false
105,3.0570962859641706,-1.1432831167238904,5.0,false
106,3.0620962859641705,-1.1432831167238904,5.0,false
107,2.962096285964171,-1.1382831167238905,5.0,false
108,2.9670962859641707,-1.1382831167238905,5.0,false
109,2.9720962859641706,-1.1382831167238905,5.0,false
110,2.977096285964171,-1.1382831167238905,5.0,false
111,2.982096285964171,-1.1382831167238905,5.0,false
112,2.9870962859641708,-1.1382831167238905,5.0,false
113,2.9920962859641707,-1.1382831167238905,5.0,false
114,2.9970962859641705,-1.1382831167238905,5.0,false
115,3.002096285964171,-1.1382831167238905,5.0,false
116,3.007096285964171,-1.1382831167238905,5.0,false
117,3.0120962859641707,-1.1382831167238905,5.0,false
118,3.0170962859641706,-1.1382831167238905,5.0,false
119,3.0220962859641705,-1.1382831167238905,5.0,false
120,3.027096285964171,-1.1382831167238905,5.0,false
121,3.0320962859641707,-1.1382831167238905,5.0,false
122,3.0370962859641706,-1.1382831167238905,5.0,false
123,3.0420962859641705,-1.1382831167238905,5.0,false
124,3.0470962859641704,-1.1382831167238905,5.0,false
125,3.0520962859641707,-1.1382831167238905,5.0,false
126,3.0570962859641706,-1.1382831167238905,5.0,false
127,3.0620962859641705,-1.1382831167238905,5.0,false
128,2.962096285964171,-1.1332831167238904,5.0,false
129,2.9670962859641707,-1.1332831167238904,5.0,false
130,2.9720962859641706,-1.1332831167238904,5.0,false
131,2.977096285964171,-1.1332831167238904,5.0,false
132,2.982096285964171,-1.1332831167238904,5.0,false
133,2.9870962859641708,-1.1332831167238904,5.0,false
134,2.9920962859641707,-1.1332831167238904,5.0,false
135,2.9970962859641705,-1.1332831167238904,5.0,false
136,3.002096285964171,-1.1332831167238904,5.0,false
137,3.007096285964171,-1.1332831167238904,5.0,false
138,3.0120962859641707,-1.1332831167238904,5.0,false
139,3.0170962859641706,-1.1332831167238904,5.0,false
140,3.0220962859641705,-1.1332831167238904,5.0,false
141,3.027096285964171,-1.1332831167238904,5.0,false
142,3.0320962859641707,-1.1332831167238904,5.0,false
143,3.0370962859641706,-1.1332831167238904,5.0,false
144,3.0420962859641705,-1.1332831167238904,5.0,false
145,3.0470962859641704,-1.1332831167238904,5.0,false
146,3.0520962859641707,-1.1332831167238904,5.0,false
147,3.0570962859641706,-1.1332831167238904,5.0,false
148,3.0620962859641705,-1.1332831167238904,5.0,false
149,2.962096285964171,-1.1282831167238903,5.0,false
150,2.9670962859641707,-1.1282831167238903,5.0,false
151,2.9720962859641706,-1.1282831167238903,5.0,false
152,2.977096285964171,-1.1282831167238903,5.0,false
153,2.982096285964171,-1.1282831167238903,5.0,false
154,2.9870962859641708,-1.1282831167238903,5.0,false
155,2.9920962859641707,-1.1282831167238903,5.0,false
