Grid Points_Entries,Longitude,Latitude,Altitude,Origin
0,3.0125218207658637,-1.1245671790686491,-75.52007880604246,true
1,2.96252361508789,-1.1745673428415015,5.0,false
2,2.96752361508789,-1.1745673428415015,5.0,false
3,2.9725236150878898,-1.1745673428415015,5.0,false
4,2.97752361508789,-1.1745673428415015,5.0,false
5,2.98252361508789,-1.1745673428415015,5.0,false
6,2.98752361508789,-1.1745673428415015,5.0,false
7,2.9925236150878898,-1.1745673428415015,5.0,false
8,2.9975236150878897,-1.1745673428415015,5.0,false
9,3.00252361508789,-1.1745673428415015,5.0,false
10,3.00752361508789,-1.1745673428415015,5.0,false
11,3.01252361508789,-1.1745673428415015,5.0,false
12,3.0175236150878897,-1.1745673428415015,5.0,false
13,3.0225236150878896,-1.1745673428415015,5.0,false
14,3.02752361508789,-1.1745673428415015,5.0,false
15,3.03252361508789,-1.1745673428415015,5.0,false
16,3.0375236150878897,-1.1745673428415015,5.0,false
17,3.0425236150878896,-1.1745673428415015,5.0,false
18,3.0475236150878895,-1.1745673428415015,5.0,false
19,3.05252361508789,-1.1745673428415015,5.0,false
20,3.0575236150878897,-1.1745673428415015,5.0,false
21,3.0625236150878896,-1.1745673428415015,5.0,false
22,2.96252361508789,-1.1695673428415017,5.0,false
23,2.96752361508789,-1.1695673428415017,5.0,false
24,2.9725236150878898,-1.1695673428415017,5.0,false
25,2.97752361508789,-1.1695673428415017,5.0,false
26,2.98252361508789,-1.1695673428415017,5.0,false
27,2.98752361508789,-1.1695673428415017,5.0,false
28,2.9925236150878898,-1.1695673428415017,5.0,false
29,2.9975236150878897,-1.1695673428415017,5.0,false
30,3.00252361508789,-1.1695673428415017,5.0,false
31,3.00752361508789,-1.1695673428415017,5.0,false
32,3.01252361508789,-1.1695673428415017,5.0,false
33,3.0175236150878897,-1.1695673428415017,5.0,false
34,3.0225236150878896,-1.1695673428415017,5.0,false
35,3.02752361508789,-1.1695673428415017,5.0,false
36,3.03252361508789,-1.1695673428415017,5.0,false
37,3.0375236150878897,-1.1695673428415017,5.0,false
38,3.0425236150878896,-1.1695673428415017,5.0,false
39,3.0475236150878895,-1.1695673428415017,5.0,false
40,3.05252361508789,-1.1695673428415017,5.0,false
41,3.0575236150878897,-1.1695673428415017,5.0,false
42,3.0625236150878896,-1.1695673428415017,5.0,false
43,2.96252361508789,-1.1645673428415015,5.0,false
44,2.96752361508789,-1.1645673428415015,5.0,false
45,2.9725236150878898,-1.1645673428415015,5.0,false
46,2.97752361508789,-1.1645673428415015,5.0,false
47,2.98252361508789,-1.1645673428415015,5.0,false
48,2.98752361508789,-1.1645673428415015,5.0,false
49,2.9925236150878898,-1.1645673428415015,5.0,false
50,2.9975236150878897,-1.1645673428415015,5.0,false
51,3.00252361508789,-1.1645673428415015,5.0,false
52,3.00752361508789,-1.1645673428415015,5.0,false
53,3.01252361508789,-1.1645673428415015,5.0,false
54,3.0175236150878897,-1.1645673428415015,5.0,false
55,3.0225236150878896,-1.1645673428415015,5.0,false
56,3.02752361508789,-1.1645673428415015,5.0,false
57,3.03252361508789,-1.1645673428415015,5.0,false
58,3.0375236150878897,-1.1645673428415015,5.0,false
59,3.0425236150878896,-1.1645673428415015,5.0,false
60,3.0475236150878895,-1.1645673428415015,5.0,false
61,3.05252361508789,-1.1645673428415015,5.0,false
62,3.0575236150878897,-1.1645673428415015,5.0,false
63,3.0625236150878896,-1.1645673428415015,5.0,false
64,2.96252361508789,-1.1595673428415014,5.0,false
65,2.96752361508789,-1.1595673428415014,5.0,false
66,2.9725236150878898,-1.1595673428415014,5.0,false
67,2.97752361508789,-1.1595673428415014,5.0,false
68,2.98252361508789,-1.1595673428415014,5.0,false
69,2.98752361508789,-1.1595673428415014,5.0,false
70,2.9925236150878898,-1.1595673428415014,5.0,false
71,2.9975236150878897,-1.1595673428415014,5.0,false
72,3.00252361508789,-1.1595673428415014,5.0,false
73,3.00752361508789,-1.1595673428415014,5.0,false
74,3.01252361508789,-1.1595673428415014,5.0,false
75,3.0175236150878897,-1.1595673428415014,5.0,false
76,3.0225236150878896,-1.1595673428415014,5.0,false
77,3.02752361508789,-1.1595673428415014,5.0,false
78,3.03252361508789,-1.1595673428415014,5.0,false
79,3.0375236150878897,-1.1595673428415014,5.0,false
80,3.0425236150878896,-1.1595673428415014,5.0,false
81,3.0475236150878895,-1.1595673428415014,5.0,false
82,3.05252361508789,-1.1595673428415014,5.0,false
83,3.0575236150878897,-1.1595673428415014,5.0,false
84,3.0625236150878896,-1.1595673428415014,5.0,false
85,2.96252361508789,-1.1545673428415015,5.0,false
86,2.96752361508789,-1.1545673428415015,5.0,false
87,2.9725236150878898,-1.1545673428415015,5.0,false
88,2.97752361508789,-1.1545673428415015,5.0,false
89,2.98252361508789,-1.1545673428415015,5.0,false
90,2.98752361508789,-1.1545673428415015,5.0,false
91,2.9925236150878898,-1.1545673428415015,5.0,false
92,2.9975236150878897,-1.1545673428415015,5.0,false
93,3.00252361508789,-1.1545673428415015,5.0,false
94,3.00752361508789,-1.1545673428415015,5.0,false
95,3.01252361508789,-1.1545673428415015,5.0,false
96,3.0175236150878897,-1.1545673428415015,5.0,false
97,3.0225236150878896,-1.1545673428415015,5.0,false
98,3.02752361508789,-1.1545673428415015,5.0,false
99,3.03252361508789,-1.1545673428415015,5.0,false
100,3.0375236150878897,-1.1545673428415015,5.0,false
101,3.0425236150878896,-1.1545673428415015,5.0,false
102,3.0475236150878895,-1.1545673428415015,5.0,false
103,3.05252361508789,-1.1545673428415015,5.0,false
104,3.0575236150878897,-1.1545673428415015,5.0,false
105,3.0625236150878896,-1.1545673428415015,5.0,false
106,2.96252361508789,-1.1495673428415016,5.0,false
107,2.96752361508789,-1.1495673428415016,5.0,false
108,2.9725236150878898,-1.1495673428415016,5.0,false
109,2.97752361508789,-1.1495673428415016,5.0,false
110,2.98252361508789,-1.1495673428415016,5.0,false
111,2.98752361508789,-1.1495673428415016,5.0,false
112,2.9925236150878898,-1.1495673428415016,5.0,false
113,2.9975236150878897,-1.1495673428415016,5.0,false
114,3.00252361508789,-1.1495673428415016,5.0,false
115,3.00752361508789,-1.1495673428415016,5.0,false
116,3.01252361508789,-1.1495673428415016,5.0,false
117,3.0175236150878897,-1.1495673428415016,5.0,false
118,3.0225236150878896,-1.1495673428415016,5.0,false
119,3.02752361508789,-1.1495673428415016,5.0,false
120,3.03252361508789,-1.1495673428415016,5.0,false
121,3.0375236150878897,-1.1495673428415016,5.0,false
122,3.0425236150878896,-1.1495673428415016,5.0,false
123,3.0475236150878895,-1.1495673428415016,5.0,false
124,3.05252361508789,-1.1495673428415016,5.0,false
125,3.0575236150878897,-1.1495673428415016,5.0,false
126,3.0625236150878896,-1.1495673428415016,5.0,false
127,2.96252361508789,-1.1445673428415015,5.0,false
128,2.96752361508789,-1.1445673428415015,5.0,false
129,2.9725236150878898,-1.1445673428415015,5.0,false
130,2.97752361508789,-1.1445673428415015,5.0,false
131,2.98252361508789,-1.1445673428415015,5.0,false
132,2.98752361508789,-1.1445673428415015,5.0,false
133,2.9925236150878898,-1.1445673428415015,5.0,false
134,2.9975236150878897,-1.1445673428415015,5.0,false
135,3.00252361508789,-1.1445673428415015,5.0,false
136,3.00752361508789,-1.1445673428415015,5.0,false
137,3.01252361508789,-1.1445673428415015,5.0,false
138,3.0175236150878897,-1.1445673428415015,5.0,false
139,3.0225236150878896,-1.1445673428415015,5.0,false
140,3.02752361508789,-1.1445673428415015,5.0,false
141,3.03252361508789,-1.1445673428415015,5.0,false
142,3.0375236150878897,-1.1445673428415015,5.0,false
143,3.0425236150878896,-1.1445673428415015,5.0,false
144,3.0475236150878895,-1.1445673428415015,5.0,false
145,3.05252361508789,-1.1445673428415015,5.0,false
146,3.0575236150878897,-1.1445673428415015,5.0,false
147,3.0625236150878896,-1.1445673428415015,5.0,false
148,2.96252361508789,-1.1395673428415014,5.0,false
149,2.96752361508789,-1.1395673428415014,5.0,false
150,2.9725236150878898,-1.1395673428415014,5.0,false
151,2.97752361508789,-1.1395673428415014,5.0,false
152,2.98252361508789,-1.1395673428415014,5.0,false
153,2.98752361508789,-1.1395673428415014,5.0,false
154,2.9925236150878898,-1.1395673428415014,5.0,false
155,2.9975236150878897,-1.1395673428415014,5.0,false
156,3.00252361508789,-1.1395673428415014,5.0,false
157,3.00752361508789,-1.1395673428415014,5.0,false
158,3.01252361508789,-1.1395673428415014,5.0,false
159,3.0175236150878897,-1.1395673428415014,5.0,false
160,3.0225236150878896,-1.1395673428415014,5.0,false
161,3.02752361508789,-1.1395673428415014,5.0,false
162,3.03252361508789,-1.1395673428415014,5.0,false
163,3.0375236150878897,-1.1395673428415014,5.0,false
164,3.0425236150878896,-1.1395673428415014,5.0,false
165,3.0475236150878895,-1.1395673428415014,5.0,false
166,3.05252361508789,-1.1395673428415014,5.0,false
167,3.0575236150878897,-1.1395673428415014,5.0,false
168,3.0625236150878896,-1.1395673428415014,5.0,false
169,2.96252361508789,-1.1345673428415015,5.0,false
170,2.96752361508789,-1.1345673428415015,5.0,false
171,2.9725236150878898,-1.1345673428415015,5.0,false
172,2.97752361508789,-1.1345673428415015,5.0,false
173,2.98252361508789,-1.1345673428415015,5.0,false
174,2.98752361508789,-1.1345673428415015,5.0,false
175,2.9925236150878898,-1.1345673428415015,5.0,false
176,2.9975236150878897,-1.1345673428415015,5.0,false
177,3.00252361508789,-1.1345673428415015,5.0,false
