Grid Points_Entries,Latitude,Longitude,Altitude,Origin
0,27.822788136571795,-162.96165970275248,5686.1938503696865,true
1,27.772788136571794,-163.0116597027525,5594.57817608205,false
2,27.772788136571794,-163.0016597027525,5600.893143242659,false
3,27.772788136571794,-162.9916597027525,5611.209837863827,false
4,27.772788136571794,-162.9816597027525,5628.761365276378,false
5,27.772788136571794,-162.97165970275248,5646.312778374897,false
6,27.772788136571794,-162.96165970275248,5663.86446109218,false
7,27.772788136571794,-162.9516597027525,5681.415951528848,false
8,27.772788136571794,-162.94165970275247,5698.967343932568,false
9,27.772788136571794,-162.93165970275248,5716.518902957498,false
10,27.772788136571794,-162.92165970275246,5734.0702049428055,false
11,27.772788136571794,-162.91165970275247,5751.621830747465,false
12,27.782788136571796,-163.0116597027525,5601.535375951008,false
13,27.782788136571796,-163.0016597027525,5606.171353379268,false
14,27.782788136571796,-162.9916597027525,5615.436133464898,false
15,27.782788136571796,-162.9816597027525,5633.067569196795,false
16,27.782788136571796,-162.97165970275248,5650.698879311295,false
17,27.782788136571796,-162.96165970275248,5668.330294036681,false
18,27.782788136571796,-162.9516597027525,5685.961781512517,false
19,27.782788136571796,-162.94165970275247,5703.59313508324,false
20,27.782788136571796,-162.93165970275248,5721.22463927069,false
21,27.782788136571796,-162.92165970275246,5738.855774567308,false
22,27.782788136571796,-162.91165970275247,5756.487409940893,false
23,27.792788136571794,-163.0116597027525,5608.4916610233895,false
24,27.792788136571794,-163.0016597027525,5611.449352261047,false
25,27.792788136571794,-162.9916597027525,5619.662306682959,false
26,27.792788136571794,-162.9816597027525,5637.373507567273,false
27,27.792788136571794,-162.97165970275248,5655.084858575289,false
28,27.792788136571794,-162.96165970275248,5672.796026718042,false
29,27.792788136571794,-162.9516597027525,5690.507569620894,false
30,27.792788136571794,-162.94165970275247,5708.218850699287,false
31,27.792788136571794,-162.93165970275248,5725.930452151629,false
32,27.792788136571794,-162.92165970275246,5743.641677753656,false
33,27.792788136571794,-162.91165970275247,5761.352731215116,false
34,27.802788136571795,-163.0116597027525,5615.448833226886,false
35,27.802788136571795,-163.0016597027525,5616.7281276113135,false
36,27.802788136571795,-162.9916597027525,5623.888224730113,false
37,27.802788136571795,-162.9816597027525,5641.679545615278,false
38,27.802788136571795,-162.97165970275248,5659.470660892661,false
39,27.802788136571795,-162.96165970275248,5677.262079833533,false
40,27.802788136571795,-162.9516597027525,5695.053156353498,false
41,27.802788136571795,-162.94165970275247,5712.844659815362,false
42,27.802788136571795,-162.93165970275248,5730.636012390449,false
