name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Palus Somni,Palus Somni,1935-01-01,"""Marsh of Sleep.""",163.455000000000013,44.724657772385797,13.688066193801200,"Palus, paludes",PA,Adopted by IAU,41.818979263305700,46.925371170043903,12.025583267211900,15.383436203002899,Latin,Europe,Taruntius,LAC-61,http://planetarynames.wr.usgs.gov/Feature/4567
Palus Epidemiarum,Palus Epidemiarum,1935-01-01,"""Marsh of Epidemics.""",300.384000000000015,332.456707483180026,-31.995917023028500,"Palus, paludes",PA,Adopted by IAU,326.565336227416992,338.280973434448015,-36.470619201660199,-28.881633758544901,Latin,Europe,Pitatus,LAC-94,http://planetarynames.wr.usgs.gov/Feature/4565
Palus Putredinis,Palus Putredinis,1935-01-01,"""Marsh of Decay.""",180.450999999999993,0.003859945804939,27.356013390388899,"Palus, paludes",PA,Adopted by IAU,357.226896286011026,362.845048355103017,25.308870315551900,29.399122238159201,Latin,Europe,Montes Apenninus,LAC-41,http://planetarynames.wr.usgs.gov/Feature/4566
