name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link
Lipskiy V,Lipskiy V,1/1/2006,Yurii Naumovich; Soviet selenographer (1909-1978).,33.4812,178.7519873,-1.286622045,Satellite Feature,SF,Adopted by IAU,178.1997738,179.3042011,-1.838691711,-0.734552383,Soviet,Europe,Icarus,LAC-86,http://planetarynames.wr.usgs.gov/Feature/10875
Littrow A,Littrow A,1/1/2006,Johann Josef von; Bohemian astronomer (1781-1840).,23.5616,32.18866128,22.30361459,Satellite Feature,SF,Adopted by IAU,31.7686367,32.60869026,21.91510582,22.69212532,Czechoslovakia,Europe,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/10877
Littrow D,Littrow D,1/1/2006,Johann Josef von; Bohemian astronomer (1781-1840).,7.76412,32.81457747,23.69678026,Satellite Feature,SF,Adopted by IAU,32.67478371,32.9543705,23.56875801,23.82480431,Czechoslovakia,Europe,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/10878
Littrow F,Littrow F,1/1/2006,Johann Josef von; Bohemian astronomer (1781-1840).,10.0281,34.12043376,21.96879612,Satellite Feature,SF,Adopted by IAU,33.9422245,34.29885292,21.80348778,22.13419533,Czechoslovakia,Europe,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/10879
Littrow P,Littrow P,1/1/2006,Johann Josef von; Bohemian astronomer (1781-1840).,36.1008,32.87793933,23.20427814,Satellite Feature,SF,Adopted by IAU,32.23028755,33.52558327,22.6090107,23.79955101,Czechoslovakia,Europe,Macrobius,LAC-43,http://planetarynames.wr.usgs.gov/Feature/10880
Lobachevskiy M,Lobachevskiy M,1/1/2006,Nikolay Ivanovich; Russian mathematician (1793-1856).,45.0657,113.0718767,7.759554684,Satellite Feature,SF,Adopted by IAU,112.321867,113.8218899,7.016469955,8.502641678,Russia,Europe,Ostwald,LAC-65,http://planetarynames.wr.usgs.gov/Feature/10881
Lobachevskiy P,Lobachevskiy P,1/1/2006,Nikolay Ivanovich; Russian mathematician (1793-1856).,22.6286,111.6529728,7.488009632,Satellite Feature,SF,Adopted by IAU,111.2766438,112.0293064,7.114889145,7.861131668,Russia,Europe,Ostwald,LAC-65,http://planetarynames.wr.usgs.gov/Feature/10882
Lockyer A,Lockyer A,1/1/2006,Sir Joseph Norman; British astrophysicist (1836-1920).,9.64155,30.99204152,-44.11817916,Satellite Feature,SF,Adopted by IAU,30.77056313,31.21352196,-44.27715874,-43.95919991,Great Britain,Europe,Maurolycus,LAC-113,http://planetarynames.wr.usgs.gov/Feature/10883
Lockyer F,Lockyer F,1/1/2006,Sir Joseph Norman; British astrophysicist (1836-1920).,19.8472,36.42302519,-47.58542141,Satellite Feature,SF,Adopted by IAU,35.93763161,36.90841484,-47.91267967,-47.25816154,Great Britain,Europe,Rheita,LAC-114,http://planetarynames.wr.usgs.gov/Feature/10884
Lockyer G,Lockyer G,1/1/2006,Sir Joseph Norman; British astrophysicist (1836-1920).,24.0176,33.31912,-45.67853261,Satellite Feature,SF,Adopted by IAU,32.75206184,33.88617134,-46.07455635,-45.28250694,Great Britain,Europe,Maurolycus,LAC-113,http://planetarynames.wr.usgs.gov/Feature/10885
